"","YEAR","temp_na_rm"
"1",1921,8.990909091
"2",1922,8.4
"3",1923,8.655
"4",1924,8.81
"5",1925,8.875833333
"6",1926,9.568333333
"7",1927,8.959166667
"8",1928,9.0675
"9",1929,8.874166667
"10",1930,8.876666667
"11",1931,9.4125
"12",1932,9.011666667
"13",1933,8.895833333
"14",1934,9.596666667
"15",1935,8.943333333
"16",1936,9.105833333
"17",1937,9.274166667
"18",1938,9.760833333
"19",1939,9.523636364
"20",1940,NA
"21",1941,NA
"22",1942,9.1475
"23",1943,8.841666667
"24",1944,9.1825
"25",1945,8.89
"26",1946,9.014166667
"27",1947,9.141666667
"28",1948,8.830833333
"29",1949,8.715833333
"30",1950,8.461666667
"31",1951,8.935
"32",1952,8.87
"33",1953,9.249166667
"34",1954,8.773333333
"35",1955,8.348333333
"36",1956,8.418333333
"37",1957,8.834166667
"38",1958,9.72
"39",1959,9.269166667
"40",1960,9.115833333
"41",1961,9.290833333
"42",1962,9.129166667
"43",1963,9.368333333
"44",1964,8.905833333
"45",1965,8.839166667
"46",1966,9.025833333
"47",1967,9.0375
"48",1968,8.865
"49",1969,8.72
"50",1970,8.794166667
"51",1971,8.520833333
"52",1972,8.524166667
"53",1973,8.7425
"54",1974,8.89
"55",1975,8.7575
"56",1976,8.664166667
"57",1977,8.976666667
"58",1978,9.180833333
"59",1979,9.06
"60",1980,9.260833333
"61",1981,9.420833333
"62",1982,9.545
"63",1983,10.17166667
"64",1984,9.330833333
"65",1985,8.865833333
"66",1986,9.218333333
"67",1987,9.560833333
"68",1988,9.2325
"69",1989,9.09
"70",1990,9.930833333
"71",1991,9.2875
"72",1992,9.728333333
"73",1993,9.205833333
"74",1994,9.775
"75",1995,9.981666667
"76",1996,9.52
"77",1997,10.045
"78",1998,10.45416667
"79",1999,9.606666667
"80",2000,9.6475
"81",2001,9.580833333
"82",2002,9.586666667
"83",2003,9.921666667
"84",2004,9.895
"85",2005,9.975
"86",2006,9.9025
"87",2007,9.465
"88",2008,9.1975
"89",2009,9.406666667
"90",2010,9.689166667
"91",2011,9.279166667
"92",2012,9.140833333
"93",2013,9.036666667
"94",2014,9.57
"95",2015,10.1525
"96",2016,10.2075
"97",2017,9.585
"98",2018,9.671666667
"99",2019,NA
"100",2020,9.441666667
"101",2021,NA
